Service,Operation
apigatewayv2,get-apis
athena,list-work-groups
cloudfront,list-distributions
cloudtrail,lookup-events
cloudwatch,describe-alarms
cloudwatch,list-metrics
cognito-idp,list-user-pools
configservice,describe-config-rules
dynamodb,list-tables
ec2,describe-instances
ec2,describe-security-groups
ec2,describe-subnets
ec2,describe-vpcs
ecs,list-clusters
ecs,list-services
ecs,list-tasks
efs,describe-file-systems
eks,list-clusters
elasticache,describe-cache-clusters
elbv2,describe-load-balancers
elbv2,describe-target-groups
events,list-rules
glacier,list-vaults
iam,list-policies
iam,list-roles
iam,list-users
kms,list-keys
lambda,list-functions
logs,list-log-groups
rds,describe-db-instances
redshift,describe-clusters
route53,list-hosted-zones
s3api,get-object
s3api,list-buckets
s3api,list-objects
secretsmanager,list-secrets
sns,list-subscriptions
sns,list-topics
sqs,list-queues
ssm,get-parameters-by-path
ssm,list-public-parameters
sts,get-caller-identity
sts,decode-authorization-message
